Order list for D:/git/sduino/robot/eagle/Robot.sch
Exported from EAGLE with DesignLink

Quantity	Value	Package	Order code	Manufacturer	Manuf. Code	Availability	Price (from)	Description
2	TC33-TRIMPOT	TC33-TRIMPOT	1689867	BOURNS	TC33X-2-503E	1586	0.0709	BOURNS - TC33X-2-503E - TRIMMER, POT, 50K, 25%, 1TURN, SMD
1	N-MOSFET	SOT23	9845011	FAIRCHILD SEMICONDUCTOR	FDV301N	10776	0.0258	FAIRCHILD SEMICONDUCTOR - FDV301N - N CHANNEL MOSFET, 220MA, 25V, SOT23
15	220R	R0805	2447606	MULTICOMP	MCWR08X2200FTL	45822	0.0051	MULTICOMP - MCWR08X2200FTL - RES, THICK FILM, 220R, 1%, 0.125W, 0805
7	OPEN	R0805	unknown					
1	330k	R0805	1652983	VISHAY DRALORIC	CRCW0805330KFKEA	10396	0.0080	VISHAY DRALORIC - CRCW0805330KFKEA - RES, THICK FILM, 330K, 1%, 0.125W, 0805
1	4M7	R0805	2352630	VISHAY DRALORIC	RCV08054M70FKEA	345	0.0155	VISHAY DRALORIC - RCV08054M70FKEA - RES, THICK FILM, 4M7, 1%, 0.125W, 0805
1	4060BM	SO16	1741260	TEXAS INSTRUMENTS	CD4060BM	3498	0.0976	TEXAS INSTRUMENTS - CD4060BM - LOGIC, BIN COUNTER/DIV/OSC, 16SOIC
1	UA78M33CDCY	SOT230P700X180-4N	2296031	TEXAS INSTRUMENTS	UA78M33CDCY	1748	0.125	TEXAS INSTRUMENTS - UA78M33CDCY - V REG, 2VDO, 0.5A, 3.3V, 4SOT223
1	BATTERY_9V	BATTERY_PAC	1888429	KEYSTONE	967	-10	0.472	KEYSTONE - 967 - BATTERY CONTACT, 9V, VERTICAL PCB SNAP-ON
4	1uF	C0805	2496944	WALSIN	0805B104K500CT	1995963	0.0041	WALSIN - 0805B104K500CT - CAPACITOR, MLCC, X7R, 0.1UF, 50V, 0805
1	LTC2955CTS8-2	8TSOT23	2097940	LINEAR TECHNOLOGY	LTC2955CTS8-2#TRMPBF	417	1.67	LINEAR TECHNOLOGY - LTC2955CTS8-2#TRMPBF - CONTROLLER, PUSHBUTTON ON/OFF, 8TSOT23
4	SD1206	SD1206	2400198	AVX	SD1206S040S2R0	2346	0.0816	AVX - SD1206S040S2R0 - DIODE, SCHOTTKY, 2A, 40V, SOD-123
1	200 mA	PT1206	1345939	TE CONNECTIVITY / RAYCHEM	NANOSMDC020F-2	-6	0.1096	TE CONNECTIVITY / RAYCHEM - NANOSMDC020F-2 - POLYSWITCH, SMD, 1206, 0.2A
1	OPEN	PT1206	unknown					
1	1.1/2.2A	C1812	2473642	TE CONNECTIVITY / RAYCHEM	MINISMDC110F/16-2	1505	0.177	TE CONNECTIVITY / RAYCHEM - MINISMDC110F/16-2 - FUSE, PTC RESETTABLE, 16VDC, 100A, 1812
1	2x11 HEADER	2X11	1593495	MULTICOMP	2214S-22SG-85	1229	0.273	MULTICOMP - 2214S-22SG-85 - SOCKET, PCB, 2 ROW, VERT, 22WAY
2	IRLML5203PBF (3A)	SOT23	9103511	INTERNATIONAL RECTIFIER	IRLML5203PBF	30508	0.0765	INTERNATIONAL RECTIFIER - IRLML5203PBF - MOSFET,P CH,-30V,-3A,SOT23
1	90k9	R0805	2141897	MULTICOMP	MC01W0805190K9	2295	0.0044	MULTICOMP - MC01W0805190K9 - RES, THICK FILM, 90K9, 1%, 0.1W, 0805
4	100k	R0805	9237879	YAGEO (PHYCOMP)	RC0805FR-07100KL	957	0.0043	YAGEO (PHYCOMP) - RC0805FR-07100KL - RES, THICK FILM, 100K, 1%, 0.125W, 0805
1	120k	R0805	9237887	YAGEO (PHYCOMP)	RC0805FR-07120KL	7431	0.0018	YAGEO (PHYCOMP) - RC0805FR-07120KL - RES, THICK FILM, 120K, 1%, 0.125W, 0805
1	1M	R0805	1853267	VISHAY DALE	CRCW08051M00FKTB	3248	0.0060	VISHAY DALE - CRCW08051M00FKTB - RES, THICK FILM, 1M, 1%, 0.125W, 0805
1	OPEN	R0603	unknown					
3	MAX803SC	SC70-3L	2318552	ON SEMICONDUCTOR	MAX803SQ293T1G	2862	0.108	ON SEMICONDUCTOR - MAX803SQ293T1G - RESET, 2.93VTH, 0.14-0.46S, ACT LW,3SC70
1	SWS006	SMS-006	9472045	MULTICOMP	MCDM(R)-06-T	4914	1.13	MULTICOMP - MCDM(R)-06-T - SWITCH, DIL, SMD, 6WAY
5	ESDA5V3L	SOT23	1749266	STMICROELECTRONICS	ESDA5V3L	6112	0.0705	STMICROELECTRONICS - ESDA5V3L - TRANSIL ARRAY UNI DUAL ESD SOT-23
5	ROBOT_SENSOR	ROBOT_SENSOR	unknown					
